,kind,etag,id,snippet,status,contentDetails,player
0,youtube#playlist,c6n9groLrT2rzT1-CvrwGvvLoyk,PLKnIA16_RmvYiCaWzsT242jVdp_aAdDjb,"{'publishedAt': '2022-08-25T07:11:41Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'SQL Interview Questions', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DRXYOfbksGE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DRXYOfbksGE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DRXYOfbksGE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DRXYOfbksGE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DRXYOfbksGE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'SQL Interview Questions', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 1},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYiCaWzsT242jVdp_aAdDjb"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
1,youtube#playlist,ANZV9G80cEJd4VPtOTlGcBBvMcA,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2,"{'publishedAt': '2022-08-07T08:57:42Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Deep Learning Optimizers', 'description': 'A playlist containing mathematical details, intuition and animation around all major deep learning optimizers', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/iCTTnQJn50E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iCTTnQJn50E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iCTTnQJn50E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iCTTnQJn50E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iCTTnQJn50E/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Deep Learning Optimizers', 'description': 'A playlist containing mathematical details, intuition and animation around all major deep learning optimizers'}}",{'privacyStatus': 'public'},{'itemCount': 7},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
2,youtube#playlist,ptOCF01qume0teJpgt9WEaVi5Vw,PLKnIA16_Rmvba0fOpXid4yNwkbX9LGBIh,"{'publishedAt': '2022-07-14T05:07:35Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Success Stories', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/3x81gGRQjwM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3x81gGRQjwM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3x81gGRQjwM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/3x81gGRQjwM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/3x81gGRQjwM/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Success Stories', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 2},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_Rmvba0fOpXid4yNwkbX9LGBIh"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
3,youtube#playlist,LySYBCXz7px3MiG8h0Vv6yydPEA,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB,"{'publishedAt': '2022-07-04T03:46:01Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Reinforcement Learning Crash Course', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/zdIQkjtFX_I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zdIQkjtFX_I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zdIQkjtFX_I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zdIQkjtFX_I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zdIQkjtFX_I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Reinforcement Learning Crash Course', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 6},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
4,youtube#playlist,0zVP7pB6m-94bTaBhPowa12ESrc,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2,"{'publishedAt': '2022-06-17T08:32:00Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Machine Learning Interview Questions', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/yA_Vtygj5FA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yA_Vtygj5FA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yA_Vtygj5FA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yA_Vtygj5FA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/yA_Vtygj5FA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Machine Learning Interview Questions', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 20},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
5,youtube#playlist,qMKtDR1N_O7T5mQgW9DCtGGLsas,PLKnIA16_RmvYqcz4vdPmE9HsvMmrr0QO9,"{'publishedAt': '2022-06-03T04:37:22Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Machine Learning Case Study', 'description': 'A Playlist on various famous companies and how they use machine learning in their day-to-day operations.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/u2aOTtOwOkc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/u2aOTtOwOkc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/u2aOTtOwOkc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/u2aOTtOwOkc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/u2aOTtOwOkc/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Machine Learning Case Study', 'description': 'A Playlist on various famous companies and how they use machine learning in their day-to-day operations.'}}",{'privacyStatus': 'public'},{'itemCount': 2},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYqcz4vdPmE9HsvMmrr0QO9"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
6,youtube#playlist,WWg6kKzIpMYn-hcjdQ0v0qBLRTQ,PLKnIA16_RmvYIzoQ_U60CIDVwwjVMhuT5,"{'publishedAt': '2022-05-14T13:32:33Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Choro Kaam Ki Baatien', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/T7KTKLHpTho/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T7KTKLHpTho/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T7KTKLHpTho/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/T7KTKLHpTho/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/T7KTKLHpTho/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Choro Kaam Ki Baatien', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 3},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYIzoQ_U60CIDVwwjVMhuT5"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
7,youtube#playlist,7t6fJZ1rA2H4k8_MXLqy1DQwhpQ,PLKnIA16_RmvbENTxx8TqPQtLxWj7B9Ins,"{'publishedAt': '2022-05-10T14:01:20Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'CampusX Live', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/yBKkSm2v3gg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yBKkSm2v3gg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yBKkSm2v3gg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yBKkSm2v3gg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/yBKkSm2v3gg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'CampusX Live', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 3},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvbENTxx8TqPQtLxWj7B9Ins"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
8,youtube#playlist,dNa8QapmVcRxc_fbuLjJBoCXVPE,PLKnIA16_RmvZTD2oti9S1jDTX7xTC7PSO,"{'publishedAt': '2022-03-26T11:33:20Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Data Science Interview Preparation', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dBvjBwga8pU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dBvjBwga8pU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dBvjBwga8pU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dBvjBwga8pU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dBvjBwga8pU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Data Science Interview Preparation', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 2},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvZTD2oti9S1jDTX7xTC7PSO"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
9,youtube#playlist,SnFq9pFErXEHVx-D9QvJoIAwFHM,PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn,"{'publishedAt': '2022-02-21T14:00:50Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'SQL for Data Science', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/FGBme8dWR_M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FGBme8dWR_M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FGBme8dWR_M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/FGBme8dWR_M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/FGBme8dWR_M/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'SQL for Data Science', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 6},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
