,videoId,videoPublishedAt,playlist_id
0,DRXYOfbksGE,2022-08-25T14:00:09Z,PLKnIA16_RmvYiCaWzsT242jVdp_aAdDjb
0,iCTTnQJn50E,2022-07-06T14:00:19Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
1,jAqVuYJ8TP8,2022-07-18T14:00:34Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
2,vVS4csXRlcQ,2022-07-20T14:00:26Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
3,rKG9E6rce1c,2022-07-26T14:00:33Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
4,nqL9xYmhEpg,2022-08-03T14:00:22Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
5,p0wSmKslWi0,2022-08-05T14:00:35Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
6,N5AynalXD9g,2022-08-07T14:00:09Z,PLKnIA16_RmvYhD5pqAeVu3j_jTjnTJIW2
0,3x81gGRQjwM,2022-07-14T14:00:02Z,PLKnIA16_Rmvba0fOpXid4yNwkbX9LGBIh
1,d5luiaJxHcw,2022-09-06T14:00:31Z,PLKnIA16_Rmvba0fOpXid4yNwkbX9LGBIh
0,zdIQkjtFX_I,2022-07-04T14:00:29Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
1,DLcBjo5gIxs,2022-07-08T16:00:08Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
2,tbpBW5Yr44k,2022-07-12T14:00:26Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
3,F-HRiwlqPDU,2022-07-16T14:00:24Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
4,FkTN6yw1S54,2022-07-22T14:00:16Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
5,IdJL9rcQrFU,2022-07-28T14:00:20Z,PLKnIA16_RmvbMK0_fdp0DZHZKm4Q1slAB
0,yA_Vtygj5FA,2022-06-17T10:59:56Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
1,9sEiMp8bCnY,2022-06-29T08:49:04Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
2,TXVtbgaEyms,2022-06-29T08:54:25Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
3,E5wVPKJkwCg,2022-06-29T08:52:39Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
4,BuuijIa7MZ8,2022-06-29T08:53:38Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
5,m9UaxSQJQGQ,2022-06-29T08:50:03Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
6,EjmbcroSC0Q,2022-06-29T08:51:15Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
7,l01Y1DXRtmg,2022-06-29T08:50:59Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
8,bEfjDSSZ4wQ,2022-06-29T08:53:06Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
9,QoQoRsn17Qo,2022-06-29T08:50:43Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
10,WwgHS0vphNo,2022-06-29T08:49:50Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
11,1pIrDi6puGs,2022-06-29T08:49:19Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
12,SB5CnzmeH_w,2022-06-29T08:49:33Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
13,4l1-i7_gGVQ,2022-06-29T08:59:05Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
14,ek9qrl0-MuU,2022-06-29T08:50:30Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
15,2RnuvkOMnsA,2022-06-29T08:51:35Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
16,Bwsp-ffCmcw,2022-06-29T08:52:21Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
17,etk-4thyX7E,2022-06-29T08:51:55Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
18,EmSNAtcHLm8,2022-06-20T14:00:07Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
19,sVJW5UXe84s,2022-06-29T14:00:33Z,PLKnIA16_Rmva_ZdY31wpEICG0KHnvIhu2
0,u2aOTtOwOkc,2022-05-21T14:00:31Z,PLKnIA16_RmvYqcz4vdPmE9HsvMmrr0QO9
1,rV-1w66cPqA,2022-06-03T04:38:59Z,PLKnIA16_RmvYqcz4vdPmE9HsvMmrr0QO9
0,T7KTKLHpTho,2022-05-14T14:00:12Z,PLKnIA16_RmvYIzoQ_U60CIDVwwjVMhuT5
1,ZNgBfrqhb9w,2022-05-30T14:00:14Z,PLKnIA16_RmvYIzoQ_U60CIDVwwjVMhuT5
2,_XDDVqnoEVA,2022-06-27T14:00:17Z,PLKnIA16_RmvYIzoQ_U60CIDVwwjVMhuT5
0,yBKkSm2v3gg,2022-05-11T03:57:15Z,PLKnIA16_RmvbENTxx8TqPQtLxWj7B9Ins
1,STdpODDHTns,2022-05-14T04:18:36Z,PLKnIA16_RmvbENTxx8TqPQtLxWj7B9Ins
2,IicPavA37ew,2022-05-18T04:10:31Z,PLKnIA16_RmvbENTxx8TqPQtLxWj7B9Ins
0,dBvjBwga8pU,2022-03-26T14:00:23Z,PLKnIA16_RmvZTD2oti9S1jDTX7xTC7PSO
1,ZcYVdmL8pzI,2022-06-08T03:40:15Z,PLKnIA16_RmvZTD2oti9S1jDTX7xTC7PSO
0,FGBme8dWR_M,2021-10-24T13:30:05Z,PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn
1,nopIGY1zJE0,2021-10-26T14:19:14Z,PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn
2,yBKkSm2v3gg,2022-05-11T03:57:15Z,PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn
3,STdpODDHTns,2022-05-14T04:18:36Z,PLKnIA16_RmvYun1_5r9Fb4eQigioPB7yn
